### Experimental file: ../Exp/OAEnth10.txt ExpType: dh CorrectOA: False CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
          Enth-Null1	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  8.63	  8.58	±	  1.00	  8.16	  8.16	±	  0.89	  8.16	  8.16	±	  0.89	  0.00	  0.00	±	  0.00	
          Enth-Null2	  0.28	  0.18	±	  0.35	 -4.71	 -5.32	±	  2.58	  0.40	  0.28	±	  0.39	  0.16	  0.23	±	  0.20	  2.97	  3.07	±	  0.65	  1.18	  1.18	±	  0.92	  2.30	  2.49	±	  0.60	  0.12	  0.07	±	  0.28	
     Enth-APR_OPC-10	  0.53	  0.53	±	  0.22	 -1.73	 -1.76	±	  1.94	  0.73	  0.68	±	  0.21	  0.53	  0.51	±	  0.22	  2.86	  2.84	±	  0.53	  2.11	  2.11	±	  0.62	  2.41	  2.41	±	  0.50	  0.56	  0.46	±	  0.24	
   Enth-APR_TIP3P-10	  0.72	  0.64	±	  0.34	 -3.56	 -4.18	±	  2.43	  0.72	  0.63	±	  0.33	  0.51	  0.51	±	  0.30	  2.50	  2.49	±	  0.40	 -1.31	 -1.31	±	  0.68	  2.17	  2.18	±	  0.41	  0.47	  0.44	±	  0.27	
